Date,AAPL,SP500,AAPL_Return,SP500_Return
2021-01-31,128.46,3714.24,,
2021-02-28,118.22,3811.15,-0.07971352950334742,0.026091474971999817
2021-03-31,119.08,3972.89,0.007274572830316295,0.04243863400810777
2021-04-30,128.16,4181.17,0.07625125965737323,0.05242531255584737
2021-05-31,121.69,4204.11,-0.05048377028714102,0.005486502581813157
2021-06-30,133.75,4297.5,0.09910428137069616,0.02221397632316946
2021-07-31,142.44,4395.26,0.06497196261682237,0.02274810936591054
2021-08-31,148.49,4522.68,0.04247402415051971,0.028990321391681118
2021-09-30,138.39,4307.54,-0.06801804835342462,-0.047569140421166334
2021-10-31,146.51,4605.38,0.058674759736975224,0.06914387330123462
2021-11-30,161.9,4567.0,0.10504402429868276,-0.00833373141847149
2021-12-31,173.92,4766.18,0.07424336009882637,0.04361287497262989
2022-01-31,171.19,4515.55,-0.015696872125114947,-0.05258508910699977
2022-02-28,161.93,4373.94,-0.05409194462293354,-0.03136052086678265
2022-03-31,171.24,4530.41,0.05749397887976282,0.03577323877328009
2022-04-30,154.61,4131.93,-0.09711516000934362,-0.08795671914903935
2022-05-31,146.18,4132.15,-0.05452428691546474,5.324388360872234e-05
2022-06-30,134.28,3785.38,-0.08140648515528803,-0.08391999322386645
2022-07-31,159.61,4130.29,0.18863568662496277,0.09111634763220589
2022-08-31,154.63,3955.0,-0.031201052565628884,-0.04244011921681046
2022-09-30,135.92,3585.62,-0.12099851257841299,-0.09339570164348932
2022-10-31,150.81,3871.98,0.10954973513831678,0.07986345457689326
2022-11-30,145.83,4080.11,-0.0330216829122737,0.053752860293699856
2022-12-31,128.0,3839.5,-0.12226565178632665,-0.058971449299161094
2023-01-31,142.15,4076.6,0.11054687500000004,0.06175283240005203
2023-02-28,145.44,3970.15,0.023144565599718447,-0.026112446646715304
2023-03-31,162.7,4109.31,0.11867436743674364,0.03505157235872702
2023-04-30,167.41,4169.48,0.028948985863552545,0.01464236088297044
2023-05-31,175.12,4179.83,0.046054596499611744,0.002482323934879238
2023-06-30,191.64,4450.38,0.09433531292827757,0.0647275128414313
2023-07-31,194.09,4588.96,0.012784387393028673,0.031138913980379268
2023-08-31,185.87,4507.66,-0.042351486423824025,-0.01771643248143373
2023-09-30,169.38,4288.05,-0.08871792112766996,-0.04871929116215501
2023-10-31,168.95,4193.8,-0.0025386704451529907,-0.021979687736850106
2023-11-30,188.17,4567.8,0.11376146788990815,0.08917926462873771
2023-12-31,190.73,4769.83,0.013604719136950605,0.04422916940321375
2024-01-31,182.68,4845.65,-0.04220626015833895,0.015895744712075555
2024-02-29,179.29,5096.27,-0.018557039632143724,0.05172061539731532
2024-03-31,170.09,5254.35,-0.05131351441798193,0.031018764704381807
2024-04-30,168.95,5035.69,-0.006702334058439785,-0.04161504277408257
2024-05-31,190.95,5277.51,0.13021604024859434,0.04802122449952262
2024-06-30,209.2,5460.48,0.09557475778999747,0.034669759034089864
2024-07-31,220.58,5522.3,0.05439770554493317,0.011321349038912354
2024-08-31,227.72,5648.4,0.03236920845044877,0.022834688445031892
2024-09-30,231.7,5762.48,0.017477604075180064,0.020196869910062976
2024-10-31,224.65,5705.45,-0.03042727665084155,-0.009896780552817508
2024-11-30,236.26,6032.38,0.05168039172045402,0.057301352215863854
2024-12-31,249.29,5881.63,0.055151104715144283,-0.024990136563014964
2025-01-31,234.94,6040.53,-0.057563480284006596,0.027016320305765618
2025-02-28,241.02,5954.5,0.025878947816463826,-0.014242127760312417
2025-03-31,221.37,5611.85,-0.081528503858601,-0.05754471408178685
2025-04-30,211.78,5569.06,-0.04332113655870262,-0.007624936518260461
2025-05-31,200.43,5911.69,-0.053593351591273986,0.06152384783069298
2025-06-30,204.74,6204.95,0.021503766901162402,0.04960679602617879
2025-07-31,207.13,6339.39,0.011673341799355308,0.021666572655702376
2025-08-31,231.92,6460.26,0.11968329068700823,0.01906650324400294
2025-09-30,254.38,6688.46,0.09684373922042089,0.03532365570425955
2025-10-31,270.11,6840.2,0.06183662237597298,0.022686836730727133
2025-11-30,278.85,6849.09,0.032357187812372734,0.001299669600304032
2025-12-31,272.21,6845.5,-0.02381208535054702,-0.0005241572238063874
2026-01-31,259.89,6966.28,-0.04525917490173026,0.017643707545102583
